"Week","Doordeweeks, 2020 (2019 = 100)","In het weekeinde, 2020 (2019 = 100)","Doordeweeks, 2021 (2019 = 100)","In het weekeinde, 2021 (2019 = 100)","Doordeweeks, 2022 (2019 = 100)","In het weekeinde, 2022 (2019 = 100)","Doordeweeks, 2023 (2019 = 100)","In het weekeinde, 2023 (2019 = 100)"
"1","83","101","71","67","96","82","103","99"
"2","99","102","79","64","86","86","93","98"
"3","100","102","77","65","85","84","91","95"
"4","104","106","78","67","88","91","98","103"
"5","102","103","78","48","87","86","95","100"
"6","99","88","62","61","87","91","92","99"
"7","97","90","73","68","82","82","93","85"
"8","99","87","80","68","88","89","92","95"
"9","94","105","78","74","86","92","91","104"
"10","98","99","80","63","88","89","93","96"
"11","91","67","80","71","88","91","94","99"
"12","60","38","80","68","89","92","93","91"
"13","51","33","80","67","87","85","92","93"
"14","52","33","77","60","88","84","95","88"
"15","52","35","76","65","90","87","89","94"
"16","47","39","76","67","86","92","89","92"
"17","58","53","75","85","84","107","85","113"
"18","56","49","81","80","89","103","91","99"
"19","61","57","77","75","93","93","94","96"
"20","66","57","83","74","89","91","87","100"
"21","64","61","78","80","86","97","93","96"
"22","78","62","89","75","98","83","97","87"
"23","73","70","84","88","88","98","93","104"
"24","81","73","87","84","94","95","94","96"
"25","81","82","86","84","90","92","91","97"
"26","84","81","87","88","91","93","91","93"
"27","86","84","88","90","90","93","91","95"
"28","86","89","86","87","91","94","93","95"
"29","89","95","88","88","89","94","92","95"
"30","93","95","89","88","93","97","",""
"31","93","91","88","87","92","93","",""
"32","91","90","90","94","91","93","",""
"33","88","91","90","96","90","98","",""
"34","90","84","91","87","92","92","",""
"35","90","86","91","90","94","91","",""
"36","92","92","94","90","94","93","",""
"37","90","92","92","96","92","89","",""
"38","92","89","94","93","91","91","",""
"39","89","74","93","93","91","80","",""
"40","88","75","96","97","96","94","",""
"41","82","76","92","98","91","93","",""
"42","81","70","93","98","91","94","",""
"43","79","68","92","90","94","97","",""
"44","77","66","90","85","91","86","",""
"45","78","68","90","83","93","94","",""
"46","79","69","85","83","94","96","",""
"47","81","72","86","80","93","97","",""
"48","82","75","81","76","91","88","",""
"49","83","73","85","80","92","95","",""
"50","82","72","85","79","92","90","",""
"51","76","63","78","72","87","79","",""
"52","83","59","89","61","105","96","",""
"53","86","65","","","","","",""
"","","","","","","","",""
"Bron: CBS, NDW"
"2019 is in elke week op 100 gesteld"